NAME                                          READY     STATUS    RESTARTS   AGE       IP             NODE                                NOMINATED NODE
ai-api-deploy-7fcc6b8b7-gmckj                 1/1       Running   0          32d       10.244.3.41    cn-beijing.i-2ze7227j5jix05dr5kqs   <none>
ai-api-deploy3-58c7f9f8dd-tg95s               1/1       Running   0          27d       10.244.3.49    cn-beijing.i-2ze7227j5jix05dr5kqs   <none>
ai-box-deploy-6bc54659c-cfvvb                 1/1       Running   0          14d       10.244.1.211   cn-beijing.i-2ze7227j5jix05dr5kqt   <none>
ai-calc-deploy-5fcdd85477-dtkvd               1/1       Running   7          151d      10.244.2.244   cn-beijing.i-2ze7227j5jix05dr5kqz   <none>
ai-chat-deploy-769f4b4879-t958v               1/1       Running   4          32d       10.244.2.47    cn-beijing.i-2ze7227j5jix05dr5kqv   <none>
ai-etl-deploy-85bd9d887d-cw7tg                1/1       Running   7          151d      10.244.2.242   cn-beijing.i-2ze7227j5jix05dr5kqz   <none>
ai-manage-deploy-5f96589866-vwnks             1/1       Running   0          6d        10.244.2.181   cn-beijing.i-2ze7227j5jix05dr5kqz   <none>
ai-manage-deploy3-5857b85fd5-hm4jk            1/1       Running   1          3d        10.244.2.119   cn-beijing.i-2ze7227j5jix05dr5kqv   <none>
ai-power-deploy-5db8c9675b-5drnq              1/1       Running   1          6d        10.244.2.110   cn-beijing.i-2ze7227j5jix05dr5kqv   <none>
ai-power-deploy3-686fc57c6d-b29dm             1/1       Running   0          3d        10.244.2.118   cn-beijing.i-2ze7227j5jix05dr5kqv   <none>
ai-solr-deploy-978955dd7-hhhx8                1/1       Running   7          151d      10.244.2.245   cn-beijing.i-2ze7227j5jix05dr5kqz   <none>
ai-solr-deploy3-85fcc74df8-8z5xm              1/1       Running   2          3d        10.244.2.121   cn-beijing.i-2ze7227j5jix05dr5kqv   <none>
api-deploy-85857b689c-2mfjg                   1/1       Running   0          25d       10.244.3.209   cn-beijing.i-2ze7227j5jix05dr5kqu   <none>
